Title,Genre,Actors,Rating
Apocalypto,"Action,Adventure,Drama","Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández,Rudy Youngblood",7.8
Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller","Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",7.4
The Huntsman: Winter's War,"Action,Adventure,Drama","Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",6.1
The Perks of Being a Wallflower,"Drama,Romance","Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd",8
Jackie,"Biography,Drama,History","Natalie Portman, Peter Sarsgaard, Greta Gerwig,Billy Crudup",6.8
The Disappointments Room,"Drama,Horror,Thriller","Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",3.9
The Grand Budapest Hotel,"Adventure,Comedy,Drama","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric,Adrien Brody",8.1
The Host,"Action,Adventure,Romance","Saoirse Ronan, Max Irons, Jake Abel, Diane Kruger",5.9
Fury,"Action,Drama,War","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña",7.6
Inside Out,"Animation,Adventure,Comedy","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",8.2
Rock Dog,"Animation,Adventure,Comedy","Luke Wilson, Eddie Izzard, J.K. Simmons, Lewis Black",5.8
Terminator Genisys,"Action,Adventure,Sci-Fi","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke,Jai Courtney",6.5
Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy","Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson",5.9
Les Misérables,"Drama,Musical,Romance","Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried",7.6
Children of Men,"Drama,Sci-Fi,Thriller","Julianne Moore, Clive Owen, Chiwetel Ejiofor,Michael Caine",7.9
20th Century Women,"Comedy,Drama","Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup",7.4
Spy,"Action,Comedy,Crime","Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham",7.1
The Intouchables,"Biography,Comedy,Drama","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",8.6
Bonjour Anne,"Comedy,Drama,Romance","Diane Lane, Alec Baldwin, Arnaud Viard, Linda Gegusch",4.9
Kynodontas,"Drama,Thriller","Christos Stergioglou, Michele Valley, Angeliki Papoulia, Hristos Passalis",7.3
Straight Outta Compton,"Biography,Drama,History","O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell,Neil Brown Jr.",7.9
The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi","Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",6.7
The Conjuring,"Horror,Mystery,Thriller","Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor",7.5
The Hangover,Comedy,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",7.8
Battleship,"Action,Adventure,Sci-Fi","Alexander Skarsgård, Brooklyn Decker, Liam Neeson,Rihanna",5.8
Rise of the Planet of the Apes,"Action,Drama,Sci-Fi","James Franco, Andy Serkis, Freida Pinto, Karin Konoval",7.6
Lights Out,Horror,"Teresa Palmer, Gabriel Bateman, Maria Bello,Billy Burke",6.4
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller","Richard Gere, Lior Ashkenazi, Michael Sheen,Charlotte Gainsbourg",7.1
Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama,Romance","Michael Keaton, Zach Galifianakis,Edward Norton, Andrea Riseborough",7.8
Black Swan,"Drama,Thriller","Natalie Portman, Mila Kunis, Vincent Cassel,Winona Ryder",8
Dear White People,"Comedy,Drama","Tyler James Williams, Tessa Thompson, Kyle Gallner,Teyonah Parris",6.2
Nymphomaniac: Vol. I,Drama,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf",7
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy","Megan Fox, Will Arnett, Tyler Perry, Laura Linney",6
Knock Knock,"Drama,Horror,Thriller","Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",4.9
Dirty Grandpa,Comedy,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",6
Cloud Atlas,"Drama,Sci-Fi","Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",7.5
X-Men Origins: Wolverine,"Action,Adventure,Sci-Fi","Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston",6.7
Satanic,Horror,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet",3.7
Skyfall,"Action,Adventure,Thriller","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench",7.8
The Hobbit: An Unexpected Journey,"Adventure,Fantasy","Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis",7.9
21 Jump Street,"Action,Comedy,Crime","Jonah Hill, Channing Tatum, Ice Cube,Brie Larson",7.2
Sing Street,"Comedy,Drama,Music","Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor",8
Ballerina,"Animation,Adventure,Comedy","Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler",6.8
Oblivion,"Action,Adventure,Mystery","Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",7
22 Jump Street,"Action,Comedy,Crime","Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman",7.1
Zodiac,"Crime,Drama,History","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards",7.7
Everybody Wants Some!!,Comedy,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch",7
Iron Man Three,"Action,Adventure,Sci-Fi","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle",7.2
Now You See Me,"Crime,Mystery,Thriller","Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson",7.3
Sherlock Holmes,"Action,Adventure,Crime","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",7.6
Death Proof,Thriller,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito",7.1
The Danish Girl,"Biography,Drama,Romance","Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw",7
Hercules,"Action,Adventure","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",6
Sucker Punch,"Action,Fantasy","Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone",6.1
Keeping Up with the Joneses,"Action,Comedy","Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot",5.8
Jupiter Ascending,"Action,Adventure,Sci-Fi","Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean",5.3
Masterminds,"Action,Comedy,Crime","Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball",5.8
Iris,Thriller,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin",6.1
Busanhaeng,"Action,Drama,Horror","Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma",7.5
Pitch Perfect,"Comedy,Music,Romance","Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp",7.2
Neighbors 2: Sorority Rising,Comedy,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz",5.7
The Exception,Drama,"Lily James, Jai Courtney, Christopher Plummer, Loïs van Wijk",7.7
Man of Steel,"Action,Adventure,Fantasy","Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",7.1
The Choice,"Drama,Romance","Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace",6.6
Ice Age: Collision Course,"Animation,Adventure,Comedy","Ray Romano, Denis Leary, John Leguizamo, Chris Wedge",5.7
The Devil Wears Prada,"Comedy,Drama","Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt",6.8
The Infiltrator,"Biography,Crime,Drama","Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",7.1
There Will Be Blood,"Drama,History","Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer",8.1
The Equalizer,"Action,Crime,Thriller","Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",7.2
Lone Survivor,"Action,Biography,Drama","Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",7.5
The Cabin in the Woods,Horror,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz",7
The House Bunny,"Comedy,Romance","Anna Faris, Colin Hanks, Emma Stone, Kat Dennings",5.5
She's Out of My League,"Comedy,Romance","Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel",6.4
Inherent Vice,"Comedy,Crime,Drama","Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston",6.7
Alice Through the Looking Glass,"Adventure,Family,Fantasy","Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway",6.2
Vincent N Roxxy,"Crime,Drama,Thriller","Emile Hirsch, Zoë Kravitz, Zoey Deutch,Emory Cohen",5.5
The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller","Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette",6
How to Be Single,"Comedy,Romance","Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie",6.1
The Blind Side,"Biography,Drama,Sport","Quinton Aaron, Sandra Bullock, Tim McGraw,Jae Head",7.7
La vie d'Adèle,"Drama,Romance","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing",7.8
The Babadook,"Drama,Horror","Essie Davis, Noah Wiseman, Daniel Henshall, Hayley McElhinney",6.8
The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy","Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett",7.4
Harry Potter and the Order of the Phoenix,"Adventure,Family,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson",7.5
Snowpiercer,"Action,Drama,Sci-Fi","Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris",7
The 5th Wave,"Action,Adventure,Sci-Fi","Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez,Bailey Anne Borders",5.2
The Stakelander,"Action,Horror","Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson",5.3
The Visit,"Comedy,Horror,Thriller","Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie",6.2
Fast Five,"Action,Crime,Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",7.3
Step Up,"Crime,Drama,Music","Channing Tatum, Jenna Dewan Tatum, Damaine Radcliff, De'Shawn Washington",6.5
Lovesong,Drama,"Riley Keough, Jena Malone, Jessie Ok Gray, Cary Joji Fukunaga",6.4
RocknRolla,"Action,Crime,Thriller","Gerard Butler, Tom Wilkinson, Idris Elba, Thandie Newton",7.3
In Time,"Action,Sci-Fi,Thriller","Justin Timberlake, Amanda Seyfried, Cillian Murphy,Olivia Wilde",6.7
The Social Network,"Biography,Drama","Jesse Eisenberg, Andrew Garfield, Justin Timberlake,Rooney Mara",7.7
The Last Witch Hunter,"Action,Adventure,Fantasy","Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson",6
Victor Frankenstein,"Drama,Horror,Sci-Fi","Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott",6
A Street Cat Named Bob,"Biography,Comedy,Drama","Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt",7.4
Green Room,"Crime,Horror,Thriller","Anton Yelchin, Imogen Poots, Alia Shawkat,Patrick Stewart",7
Blackhat,"Crime,Drama,Mystery","Chris Hemsworth, Viola Davis, Wei Tang, Leehom Wang",5.4
Storks,"Animation,Adventure,Comedy","Andy Samberg, Katie Crown,Kelsey Grammer, Jennifer Aniston",6.9
American Sniper,"Action,Biography,Drama","Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis",7.3
Dallas Buyers Club,"Biography,Drama","Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn",8
Lincoln,"Biography,Drama,History","Daniel Day-Lewis, Sally Field, David Strathairn,Joseph Gordon-Levitt",7.4
Rush,"Action,Biography,Drama","Daniel Brühl, Chris Hemsworth, Olivia Wilde,Alexandra Maria Lara",8.1
Before I Wake,"Drama,Fantasy,Horror","Kate Bosworth, Thomas Jane, Jacob Tremblay,Annabeth Gish",6.1
Silver Linings Playbook,"Comedy,Drama,Romance","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",7.8
Tracktown,"Drama,Sport","Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley",5.9
The Fault in Our Stars,"Drama,Romance","Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",7.8
Blended,"Comedy,Romance","Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon",6.5
Fast & Furious,"Action,Crime,Thriller","Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster",6.6
Looper,"Action,Crime,Drama","Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",7.4
White House Down,"Action,Drama,Thriller","Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke",6.4
Pete's Dragon,"Adventure,Family,Fantasy","Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence",6.8
Spider-Man 3,"Action,Adventure","Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church",6.2
The Three Musketeers,"Action,Adventure,Romance","Logan Lerman, Matthew Macfadyen, Ray Stevenson, Milla Jovovich",5.8
Stardust,"Adventure,Family,Fantasy","Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen",7.7
American Hustle,"Crime,Drama","Christian Bale, Amy Adams, Bradley Cooper,Jennifer Lawrence",7.3
Jennifer's Body,"Comedy,Horror","Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons",5.1
Midnight in Paris,"Comedy,Fantasy,Romance","Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",7.7
Lady Macbeth,Drama,"Florence Pugh, Christopher Fairbank, Cosmo Jarvis, Naomi Ackie",7.3
Joy,Drama,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez",6.6
The Dressmaker,"Comedy,Drama","Kate Winslet, Judy Davis, Liam Hemsworth,Hugo Weaving",7.1
Café Society,"Comedy,Drama,Romance","Jesse Eisenberg, Kristen Stewart, Steve Carell, Blake Lively",6.7
Insurgent,"Adventure,Sci-Fi,Thriller","Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",6.3
Seventh Son,"Action,Adventure,Fantasy","Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",5.5
Demain tout commence,"Comedy,Drama","Omar Sy, Clémence Poésy, Antoine Bertrand, Ashley Walters",7.4
The Theory of Everything,"Biography,Drama,Romance","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",7.7
This Is the End,"Comedy,Fantasy","James Franco, Jonah Hill, Seth Rogen,Jay Baruchel",6.6
About Time,"Comedy,Drama,Fantasy","Domhnall Gleeson, Rachel McAdams, Bill Nighy,Lydia Wilson",7.8
Step Brothers,Comedy,"Will Ferrell, John C. Reilly, Mary Steenburgen,Richard Jenkins",6.9
Clown,"Horror,Thriller","Andy Powers, Laura Allen, Peter Stormare, Christian Distefano",5.7
Star Trek Into Darkness,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",7.8
Zombieland,"Adventure,Comedy,Horror","Jesse Eisenberg, Emma Stone, Woody Harrelson,Abigail Breslin",7.7
"Hail, Caesar!","Comedy,Mystery","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",6.3
Slumdog Millionaire,Drama,"Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",8
The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",5.5
American Wrestler: The Wizard,"Drama,Sport","William Fichtner, Jon Voight, Lia Marie Johnson,Gabriel Basso",6.9
The Amazing Spider-Man,"Action,Adventure","Andrew Garfield, Emma Stone, Rhys Ifans, Irrfan Khan",7
Ben-Hur,"Action,Adventure,Drama","Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi",5.7
Sleight,"Action,Drama,Sci-Fi","Jacob Latimore, Seychelle Gabriel, Dulé Hill, Storm Reid",6
The Maze Runner,"Action,Mystery,Sci-Fi","Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster",6.8
Criminal,"Action,Crime,Drama","Kevin Costner, Ryan Reynolds, Gal Gadot, Gary Oldman",6.3
Wanted,"Action,Crime,Fantasy","Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp",6.7
Florence Foster Jenkins,"Biography,Comedy,Drama","Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",6.9
Collide,"Action,Crime,Thriller","Nicholas Hoult, Felicity Jones, Anthony Hopkins, Ben Kingsley",5.7
Black Mass,"Biography,Crime,Drama","Johnny Depp, Benedict Cumberbatch, Dakota Johnson, Joel Edgerton",6.9
Creed,"Drama,Sport","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",7.6
Swiss Army Man,"Adventure,Comedy,Drama","Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Antonia Ribero",7.1
The Expendables 3,"Action,Adventure,Thriller","Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",6.1
What We Do in the Shadows,"Comedy,Fantasy,Horror","Jemaine Clement, Taika Waititi,Cori Gonzalez-Macuer, Jonny Brugh",7.6
Southpaw,"Drama,Sport","Jake Gyllenhaal, Rachel McAdams, Oona Laurence,Forest Whitaker",7.4
Hush,"Horror,Thriller","John Gallagher Jr., Kate Siegel, Michael Trucco,Samantha Sloyan",6.6
Bridge of Spies,"Drama,History,Thriller","Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",7.6
The Lego Movie,"Animation,Action,Adventure","Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",7.8
Everest,"Action,Adventure,Drama","Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson",7.1
Pixels,"Action,Comedy,Family","Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",5.6
Robin Hood,"Action,Adventure,Drama","Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow",6.7
The Wolverine,"Action,Adventure,Sci-Fi","Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",6.7
John Carter,"Action,Adventure,Sci-Fi","Taylor Kitsch, Lynn Collins, Willem Dafoe,Samantha Morton",6.6
Keanu,"Action,Comedy","Keegan-Michael Key, Jordan Peele, Tiffany Haddish,Method Man",6.3
The Gunman,"Action,Crime,Drama","Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem",5.8
Steve Jobs,"Biography,Drama","Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels",7.2
Whisky Galore,"Comedy,Romance","Tim Pigott-Smith, Naomi Battrick, Ellie Kendrick,James Cosmo",5
Grown Ups 2,Comedy,"Adam Sandler, Kevin James, Chris Rock, David Spade",5.4
The Age of Adaline,"Drama,Fantasy,Romance","Blake Lively, Michiel Huisman, Harrison Ford,Kathy Baker",7.2
The Incredible Hulk,"Action,Adventure,Sci-Fi","Edward Norton, Liv Tyler, Tim Roth, William Hurt",6.8
Couples Retreat,Comedy,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman",5.5
Absolutely Anything,"Comedy,Sci-Fi","Simon Pegg, Kate Beckinsale, Sanjeev Bhaskar, Rob Riggle",6
Magic Mike,"Comedy,Drama","Channing Tatum, Alex Pettyfer, Olivia Munn,Matthew McConaughey",6.1
Minions,"Animation,Action,Adventure","Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin",6.4
The Black Room,Horror,"Natasha Henstridge, Lukas Hassel, Lin Shaye,Dominique Swain",3.9
Bronson,"Action,Biography,Crime","Tom Hardy, Kelly Adams, Luing Andrews,Katy Barker",7.1
Despicable Me,"Animation,Adventure,Comedy","Steve Carell, Jason Segel, Russell Brand, Julie Andrews",7.7
The Best of Me,"Drama,Romance","James Marsden, Michelle Monaghan, Luke Bracey,Liana Liberato",6.7
The Invitation,"Drama,Mystery,Thriller","Logan Marshall-Green, Emayatzy Corinealdi, Michiel Huisman, Tammy Blanchard",6.7
Zero Dark Thirty,"Drama,History,Thriller","Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong",7.4
Tangled,"Animation,Adventure,Comedy","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",7.8
The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",6.6
Vacation,"Adventure,Comedy","Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins",6.1
Taken,"Action,Thriller","Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",7.8
Pitch Perfect 2,"Comedy,Music","Anna Kendrick, Rebel Wilson, Hailee Steinfeld,Brittany Snow",6.5
Monsters University,"Animation,Adventure,Comedy","Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",7.3
Elle,"Crime,Drama,Thriller","Isabelle Huppert, Laurent Lafitte, Anne Consigny,Charles Berling",7.2
Mechanic: Resurrection,"Action,Adventure,Crime","Jason Statham, Jessica Alba, Tommy Lee Jones,Michelle Yeoh",5.6
Tusk,"Comedy,Drama,Horror","Justin Long, Michael Parks, Haley Joel Osment,Genesis Rodriguez",5.4
The Headhunter's Calling,Drama,"Alison Brie, Gerard Butler, Willem Dafoe, Gretchen Mol",6.9
Atonement,"Drama,Mystery,Romance","Keira Knightley, James McAvoy, Brenda Blethyn,Saoirse Ronan",7.8
Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",7.7
Shame,Drama,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",7.2
Hanna,"Action,Drama,Thriller","Saoirse Ronan, Cate Blanchett, Eric Bana, Vicky Krieps",6.8
The Babysitters,Drama,"Lauren Birkell, Paul Borghese, Chira Cassel, Anthony Cirillo",5.7
Pride and Prejudice and Zombies,"Action,Horror,Romance","Lily James, Sam Riley, Jack Huston, Bella Heathcote",5.8
300: Rise of an Empire,"Action,Drama,Fantasy","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",6.2
London Has Fallen,"Action,Crime,Drama","Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",5.9
The Curious Case of Benjamin Button,"Drama,Fantasy,Romance","Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond",7.8
Sin City: A Dame to Kill For,"Action,Crime,Thriller","Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",6.5
The Bourne Ultimatum,"Action,Mystery,Thriller","Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",8.1
Srpski film,"Horror,Mystery,Thriller","Srdjan 'Zika' Todorovic, Sergej Trifunovic,Jelena Gavrilovic, Slobodan Bestic",5.2
The Purge: Election Year,"Action,Horror,Sci-Fi","Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria",6
3 Idiots,"Comedy,Drama","Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",8.4
Zoolander 2,Comedy,"Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell",4.7
World War Z,"Action,Adventure,Horror","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",7
Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",7.4
Let Me Make You a Martyr,"Action,Crime,Drama","Marilyn Manson, Mark Boone Junior, Sam Quartin, Niko Nicotera",6.4
Filth,"Comedy,Crime,Drama","James McAvoy, Jamie Bell, Eddie Marsan, Imogen Poots",7.1
The Longest Ride,"Drama,Romance","Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston",7.1
The imposible,"Drama,Thriller","Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast",7.6
Kick-Ass 2,"Action,Comedy,Crime","Aaron Taylor-Johnson, Chloë Grace Moretz,Christopher Mintz-Plasse, Jim Carrey",6.6
Folk Hero & Funny Guy,Comedy,"Alex Karpovsky, Wyatt Russell, Meredith Hagner,Melanie Lynskey",5.6
Oz the Great and Powerful,"Adventure,Family,Fantasy","James Franco, Michelle Williams, Rachel Weisz, Mila Kunis",6.3
Brooklyn,"Drama,Romance","Saoirse Ronan, Emory Cohen, Domhnall Gleeson,Jim Broadbent",7.5
Coraline,"Animation,Family,Fantasy","Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",7.7
Blue Valentine,"Drama,Romance","Ryan Gosling, Michelle Williams, John Doman,Faith Wladyka",7.4
The Thinning,Thriller,"Logan Paul, Peyton List, Lia Marie Johnson,Calum Worthy",6
Silent Hill,"Adventure,Horror,Mystery","Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger",6.6
Dredd,"Action,Sci-Fi","Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood",7.1
Hunt for the Wilderpeople,"Adventure,Comedy,Drama","Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House",7.9
Big Hero 6,"Animation,Action,Adventure","Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller",7.8
Carrie,"Drama,Horror","Chloë Grace Moretz, Julianne Moore, Gabriella Wilde, Portia Doubleday",5.9
Iron Man 2,"Action,Adventure,Sci-Fi","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow,Don Cheadle",7
Demolition,"Comedy,Drama","Jake Gyllenhaal, Naomi Watts, Chris Cooper,Judah Lewis",7
Pandorum,"Action,Horror,Mystery","Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue",6.8
Olympus Has Fallen,"Action,Thriller","Gerard Butler, Aaron Eckhart, Morgan Freeman,Angela Bassett",6.5
I Am Number Four,"Action,Adventure,Sci-Fi","Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer",6.1
Jagten,Drama,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm",8.3
The Proposal,"Comedy,Drama,Romance","Sandra Bullock, Ryan Reynolds, Mary Steenburgen,Craig T. Nelson",6.7
Get Hard,"Comedy,Crime","Will Ferrell, Kevin Hart, Alison Brie, T.I.",6
Just Go with It,"Comedy,Romance","Adam Sandler, Jennifer Aniston, Brooklyn Decker,Nicole Kidman",6.4
Revolutionary Road,"Drama,Romance","Leonardo DiCaprio, Kate Winslet, Christopher Fitzgerald, Jonathan Roumie",7.3
The Town,"Crime,Drama,Thriller","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",7.6
The Boy,"Horror,Mystery,Thriller","Lauren Cohan, Rupert Evans, James Russell, Jim Norton",6
Denial,"Biography,Drama","Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott",6.6
Predestination,"Drama,Mystery,Sci-Fi","Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West",7.5
Goosebumps,"Adventure,Comedy,Family","Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee",6.3
Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime","Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",7.5
Salt,"Action,Crime,Mystery","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",6.4
Enemy,"Mystery,Thriller","Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon,Isabella Rossellini",6.9
